Volume,Species,System
136.90872930660814,Snook,ACS
113.24216028175309,Snook,ACS
138.48971690331842,Snook,ACS
100.90386230901842,Snook,ACS
88.61176318714797,Snook,ACS
210.7752986568747,Snook,ACS
138.77738670753587,Snook,ACS
60.02762082259035,Snook,ACS
163.77634568135377,Snook,ACS
140.92553650553327,Snook,ACS
113.11947252362958,Snook,ACS
86.29727295010822,Snook,ACS
112.09855536529642,Snook,ACS
125.88370372359493,Snook,ACS
39.12263823590311,Snook,ACS
162.192808317535,Snook,ACS
153.45720235716672,Snook,ACS
116.93392180059631,Snook,ACS
100.49326483122078,Snook,ACS
128.11504029710648,Snook,ACS
145.80184717280682,Snook,ACS
71.08977316483197,Snook,ACS
108.72572333725347,Snook,ACS
148.74775880747583,Snook,ACS
171.26090053563277,Snook,ACS
119.33248208674844,Snook,ACS
69.44319965117727,Snook,ACS
122.92444305914294,Snook,ACS
182.62455511351357,Snook,ACS
125.06516645980022,Snook,ACS
155.26365330520377,Snook,ACS
147.8989789054274,Snook,ACS
202.7427380660586,Snook,ACS
217.6631716384481,Snook,ACS
46.45349888524145,Snook,ACS
147.96608045512411,Snook,ACS
104.64208425034612,Snook,ACS
168.58176599843154,Snook,ACS
119.03598873114981,Snook,ACS
87.64428006369289,Snook,ACS
138.89658824233,Snook,ACS
168.17204913600278,Snook,ACS
100.67211098953831,Snook,ACS
109.19117520596046,Snook,ACS
120.64541265008731,Snook,ACS
111.40304810150714,Snook,ACS
134.3316916920759,Snook,ACS
98.06310384767663,Snook,ACS
151.24520796443034,Snook,ACS
91.49513394005685,Snook,ACS
105.89599432905896,Snook,ACS
169.86630835517172,Snook,ACS
98.0085520068341,Snook,ACS
131.3093213369051,Snook,ACS
142.44653476483464,Snook,ACS
123.40805290033528,Snook,ACS
140.59225910027564,Snook,ACS
160.38793825185707,Snook,ACS
91.87602347701109,Snook,ACS
100.96448598830013,Snook,ACS
156.95735029125774,Snook,ACS
200.17946449584892,Snook,ACS
77.09890783207335,Snook,ACS
76.85394444921985,Snook,ACS
109.39385951860416,Snook,ACS
95.89201277417101,Snook,ACS
121.41978753054732,Snook,ACS
148.53126506854366,Snook,ACS
97.86673470499076,Snook,ACS
85.32751811053116,Snook,ACS
114.76146688055367,Snook,ACS
72.62716418372284,Snook,ACS
148.85530510016355,Snook,ACS
139.28873241747135,Snook,ACS
218.90899215626126,Snook,ACS
114.68732015304448,Snook,ACS
191.39845514222475,Snook,ACS
114.1324377859227,Snook,ACS
196.42336348546038,Snook,ACS
161.12879370337603,Snook,ACS
143.82386011089486,Snook,ACS
117.59115761307959,Snook,ACS
90.10497638067578,Snook,ACS
83.32233723758358,Snook,ACS
137.04121831392874,Snook,ACS
158.88829935317938,Snook,ACS
109.30723394718935,Snook,ACS
155.93490456116163,Snook,ACS
101.72106155441799,Snook,ACS
132.44540997884792,Snook,ACS
157.59214341645148,Snook,ACS
131.46636962398503,Snook,ACS
147.7307476321218,Snook,ACS
193.1150618738261,Snook,ACS
92.03206953133646,Snook,ACS
135.81022996856933,Snook,ACS
131.53929195925232,Snook,ACS
114.31027132874124,Snook,ACS
168.11734617619493,Snook,ACS
159.56609526217022,Snook,ACS
1.7307324591436601,Snook,MCS
6.818856996294194,Snook,MCS
1.9892379269394194,Snook,MCS
2.328485897023088,Snook,MCS
1.3967944800206495,Snook,MCS
1.4857464439699597,Snook,MCS
1.732794884579872,Snook,MCS
2.522999948219779,Snook,MCS
2.6702330686259734,Snook,MCS
3.5244389309800614,Snook,MCS
2.2114189482933755,Snook,MCS
3.46994627401511,Snook,MCS
2.749411347815244,Snook,MCS
3.883270892363877,Snook,MCS
4.90985851762389,Snook,MCS
2.2929531683283035,Snook,MCS
1.2067906927070373,Snook,MCS
3.8990496264188796,Snook,MCS
5.164508098193647,Snook,MCS
1.8739485370264621,Snook,MCS
2.6266969922921284,Snook,MCS
5.016129909923016,Snook,MCS
4.266391196964907,Snook,MCS
4.5607369042099535,Snook,MCS
2.6912448046006836,Snook,MCS
5.496225025086572,Snook,MCS
3.2101733918422215,Snook,MCS
1.8256772617912025,Snook,MCS
3.864385626342196,Snook,MCS
5.907510767130482,Snook,MCS
2.037206044186168,Snook,MCS
0.8675917228691464,Snook,MCS
3.7758590296571786,Snook,MCS
2.0904379541430846,Snook,MCS
3.340449469675219,Snook,MCS
3.7938983845488807,Snook,MCS
2.872702474024748,Snook,MCS
3.2663298969743293,Snook,MCS
1.7364890400036308,Snook,MCS
0.4676067210291967,Snook,MCS
4.574999918513374,Snook,MCS
1.936655443906176,Snook,MCS
0.7562875736143967,Snook,MCS
5.3344105077290145,Snook,MCS
3.299753621272097,Snook,MCS
1.0939768886462766,Snook,MCS
1.9780274788468497,Snook,MCS
1.0745638388289813,Snook,MCS
1.8802841934433636,Snook,MCS
3.736069907524105,Snook,MCS
3.5593490422844716,Snook,MCS
3.976206190058257,Snook,MCS
4.529979646291434,Snook,MCS
3.1797743689542965,Snook,MCS
2.1557209414245704,Snook,MCS
3.0494208106656036,Snook,MCS
2.464027254436048,Snook,MCS
3.084845087734008,Snook,MCS
4.049496326782723,Snook,MCS
0.5768484791509667,Snook,MCS
6.126516200446445,Snook,MCS
1.3973656201660185,Snook,MCS
2.5466882273590183,Snook,MCS
2.8582402445939366,Snook,MCS
1.8225162302387359,Snook,MCS
1.8754160984382309,Snook,MCS
3.2938275878266094,Snook,MCS
1.1087032535495567,Snook,MCS
3.1845576952935297,Snook,MCS
1.702039184919558,Snook,MCS
3.6550550878254167,Snook,MCS
